"","quality","fixed.acidity","volatile.acidity","citric.acid","residual.sugar","alcohol","pH","calidad_BM"
"1",5,7.4,0.7,0,1.9,9.4,3.5,"1"
"2",5,7.8,0.506631648063034,0,2.6,9.8,3.2,"1"
"3",5,7.8,0.8,0,2.3,9.8,3.3,"1"
"4",6,11.2,0.3,0.6,1.9,9.8,3.2,"1"
"5",5,7.4,0.7,0,1.9,9.4,3.5,"1"
"6",5,7.4,0.7,0,1.8,9.4,3.5,"1"
"7",5,7.9,0.6,0.1,1.6,9.4,3.3,"1"
"8",7,7.3,0.7,0,1.2,10,3.4,"1"
"9",7,7.8,0.6,0,2,9.5,3.4,"1"
"10",5,7.5,0.5,0.4,2.13642908567315,10.5,3.4,"1"
"11",5,6.7,0.6,0.1,1.8,9.2,3.3,"1"
"12",5,7.5,0.5,0.4,2.13642908567315,10.5,3.4,"1"
"13",5,5.6,0.6,0,1.6,9.9,3.6,"1"
"14",5,7.8,0.6,0.3,1.6,9.1,3.3,"1"
"15",5,8.9,0.6,0.2,2.13642908567315,9.2,3.2,"1"
"16",5,8.9,0.6,0.2,2.13642908567315,9.2,3.2,"1"
"17",7,8.5,0.3,0.6,1.8,10.5,3.3,"1"
"18",5,8.1,0.6,0.3,1.7,9.3,3.1,"1"
"19",4,7.4,0.6,0.1,2.13642908567315,9,3.4,"0"
"20",6,7.9,0.3,0.5,1.8,9.2,3,"1"
"21",6,8.9,0.2,0.5,1.8,9.4,3.4,"1"
"22",5,7.6,0.4,0.3,2.3,9.7,3.5,"1"
"23",5,7.9,0.4,0.2,1.6,9.5,3.2,"1"
"24",5,8.5,0.5,0.1,2.3,9.4,3.2,"1"
"25",6,6.9,0.4,0.1,2.4,9.7,3.4,"1"
"26",5,6.3,0.4,0.2,1.4,9.3,3.3,"1"
"27",5,7.6,0.4,0.2,1.8,9.5,3.3,"1"
"28",5,7.9,0.4,0.2,1.6,9.5,3.2,"1"
"29",5,7.1,0.7,0,1.9,9.4,3.5,"1"
"30",6,7.8,0.6,0,2,9.8,3.4,"1"
"31",5,6.7,0.7,0.1,2.4,10.1,3.4,"1"
"32",6,6.9,0.7,0,2.5,10.6,3.5,"1"
"33",5,8.3,0.7,0.1,2.3,9.8,3.2,"1"
"34",6,6.9,0.6,0.1,2.13642908567315,9.4,3.5,"1"
"35",5,5.2,0.3,0.2,1.8,9.2,3.4,"1"
